parkingFacilityOccupancy,parkingFacilityReference_@targetClass,parkingFacilityReference_@id,parkingFacilityReference_@version,parkingFacilityStatus,parkingFacilityStatusTime,totalNumberOfOccupiedParkingSpaces,totalNumberOfVacantParkingSpaces,totalParkingCapacityOverride,totalParkingCapacityShortTermOverride,SubscriptionID
1.0,ParkingFacility,7[City Point],1.0,closed,2018-08-05T14:51:00.859+02:00,220,0,220,220,2683000
1.0,ParkingFacility,6[Theaterplatz],1.0,statusUnknown,2018-08-05T14:51:00.859+02:00,228,0,228,228,2683000
0.23673469,ParkingFacility,1[Friedrichsplatz],1.0,open,2018-08-05T14:51:00.859+02:00,232,748,980,980,2683000
0.23913044,ParkingFacility,4[Wilhelmsstraße],1.0,open,2018-08-05T14:51:00.859+02:00,77,245,322,322,2683000
0.59731543,ParkingFacility,5[Rathaus],1.0,open,2018-08-05T14:51:00.859+02:00,178,120,298,298,2683000
0.18064517,ParkingFacility,2[Kurfürsten Galerie],1.0,open,2018-08-05T14:51:00.859+02:00,112,508,620,620,2683000
1.0,ParkingFacility,10[Galeria Kaufhof],1.0,closed,2018-08-05T14:51:00.859+02:00,235,0,235,235,2683000
1.0,ParkingFacility,9[Martinskirche],1.0,closed,2018-08-05T14:51:00.859+02:00,113,0,113,113,2683000
1.0,ParkingFacility,3[Garde-du-Corps],1.0,closed,2018-08-05T14:51:00.859+02:00,360,0,360,360,2683000
1.0,ParkingFacility,8[Atrium],1.0,closed,2018-08-05T14:51:00.859+02:00,150,0,150,150,2683000
1.0,ParkingFacility,7[City Point],1.0,closed,2018-08-05T14:54:00.151+02:00,220,0,220,220,2683000
1.0,ParkingFacility,6[Theaterplatz],1.0,statusUnknown,2018-08-05T14:54:00.151+02:00,228,0,228,228,2683000
0.24285714,ParkingFacility,1[Friedrichsplatz],1.0,open,2018-08-05T14:54:00.151+02:00,238,742,980,980,2683000
0.23291926,ParkingFacility,4[Wilhelmsstraße],1.0,open,2018-08-05T14:54:00.151+02:00,75,247,322,322,2683000
0.60402685,increasing,ParkingFacility,5[Rathaus],1.0,open,2018-08-05T14:54:00.151+02:00,180,118,298,298,2683000
0.17741935,ParkingFacility,2[Kurfürsten Galerie],1.0,open,2018-08-05T14:54:00.151+02:00,110,510,620,620,2683000
1.0,ParkingFacility,10[Galeria Kaufhof],1.0,closed,2018-08-05T14:54:00.151+02:00,235,0,235,235,2683000
1.0,ParkingFacility,9[Martinskirche],1.0,closed,2018-08-05T14:54:00.151+02:00,113,0,113,113,2683000
1.0,ParkingFacility,3[Garde-du-Corps],1.0,closed,2018-08-05T14:54:00.151+02:00,360,0,360,360,2683000
1.0,ParkingFacility,8[Atrium],1.0,closed,2018-08-05T14:54:00.151+02:00,150,0,150,150,2683000
1.0,ParkingFacility,7[City Point],1.0,closed,2018-08-05T14:56:00.461+02:00,220,0,220,220,2683000
0.24285714,ParkingFacility,1[Friedrichsplatz],1.0,open,2018-08-05T14:56:00.461+02:00,238,742,980,980,2683000
0.60738254,ParkingFacility,5[Rathaus],1.0,open,2018-08-05T14:56:00.461+02:00,181,117,298,298,2683000
1.0,ParkingFacility,10[Galeria Kaufhof],1.0,closed,2018-08-05T14:56:00.461+02:00,235,0,235,235,2683000
1.0,ParkingFacility,3[Garde-du-Corps],1.0,closed,2018-08-05T14:56:00.461+02:00,360,0,360,360,2683000
